es,en,ca,familia_es,familia_en,familia_ca,kcal_value,kcal_unit,fat_satured_value,fat_satured_unit,colesterol_value,colesterol_unit
Boniato crudo,Sweet potato raw,,Verduras hortalizas y derivados,Vegetables and vegetable products,,422.5,kJ,0,mg,NaN,g
Acelga en conserva,Swiss chard canned,,Verduras hortalizas y derivados,Vegetables and vegetable products,,72.66,kJ,0.012,g,0,mg
Tapioca hervida,Tapioca boiled,,Verduras hortalizas y derivados,Vegetables and vegetable products,,530.4,kJ,0,mg,NaN,g
Tomate,Tomato,,Verduras hortalizas y derivados,Vegetables and vegetable products,,78.5,kJ,0,mg,NaN,g
Tomate maduro pelado y triturado enlatado,tomato ripe peeled and ground canned,,Verduras hortalizas y derivados,Vegetables and vegetable products,,151.95,kJ,0.071,g,0,mg
Tomate maduro puré,Tomato ripe puree,,Verduras hortalizas y derivados,Vegetables and vegetable products,,303.2,kJ,0,mg,NaN,g
Tomate asado,Tomato roasted,,Verduras hortalizas y derivados,Vegetables and vegetable products,,79.04,kJ,0,mg,NaN,g
Trufa cruda,Truffle raw,,Verduras hortalizas y derivados,Vegetables and vegetable products,,392.5,kJ
Grelo,Turnip greens,,Verduras hortalizas y derivados,Vegetables and vegetable products,,47.6,kJ,0.05,g,0,mg
Nabo pelado crudo,Turnip peeled raw,,Verduras hortalizas y derivados,Vegetables and vegetable products,,77.1,kJ,0,mg,NaN,g
Menestra de verduras congelada,Vegetables stewed frozen,,Verduras hortalizas y derivados,Vegetables and vegetable products,,186.8,kJ,0.098,g,0,mg
Berro crudo,Watercress raw,,Verduras hortalizas y derivados,Vegetables and vegetable products,,49.9,kJ,0,mg,NaN,g
