es,en,ca,familia_es,familia_en,familia_ca,kcal_value,kcal_unit,fat_satured_value,fat_satured_unit,colesterol_value,colesterol_unit
Pulpo,Octopus,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,379.9,kJ,0.3,g,48,mg
Pulpo hervido,Octopus boiled,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,287.09,kJ,NaN,g,NaN,mg
Ostra cruda,Oyster raw,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,267.155,kJ,0.37391,g,53.5,mg
Breca cruda,Pandora raw,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,315.8,kJ,0.35,g,48,mg
Vieja cruda,Parrot fish raw,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,348.2,kJ
Perca al horno,Perch baked,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,407.9,kJ,0.2,g,93,mg
Perca cruda,Perch raw,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,375.4,kJ,0.24,g,42,mg
Bígaro hervido,Periwinkle boiled,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,397.15,kJ,0.2,g,105,mg
Atún en escabeche,Pickled tuna,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,421.7,kJ,0.23,g,51,mg
Lucio al horno,Pike baked,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,397.743,kJ,0.15,g,58,mg
Faneca cruda,Pout raw,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,315.8,kJ,0.25,g,48,mg
Langostino,Prawn raw,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,468.2,kJ,0.2,g,185,mg
Raya cruda,Ray raw,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,409.74,kJ,0.286,g,65,mg
Cabracho o rascacio crudo,Red rockfish raw,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,385.371,kJ,0.37,g,35,mg
Gamba roja cruda,Red shrimp frozen peeled raw,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,373.129,kJ,0.3,g,185,mg
Salema cruda,Salema raw,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,431.6,kJ,67,mg,0.45,g
Salmón,Salmon,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,756.8,kJ,2.16,g,50,mg
Salmón plancha,Salmon griddle,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,750.4,kJ,1.9,g,50,mg
Sardina,Sardine,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,585.2,kJ,2.64,g,100,mg
Sardina enlatada en aceite escurrida,sardine canned in oil drained,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,989.56,kJ,2.8,g,65,mg
Sardina enlatada en escabeche,Sardine canned pickled,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,546.1,kJ,2.64,g,100,mg
Sardina asada,Sardine roasted,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,1067.79,kJ,2.6,g,79.8,mg
Vieira,Scallop,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,356.3,kJ,0.23,g,40,mg
Cigala,Scampi,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,361.2,kJ,0.2,g,105,mg
Besugo,Sea bream,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,374.64,kJ,0.4,g,56.5,mg
Lubina,Seabass,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,354.1,kJ,0.27,g,68,mg
Camarón,Shrimp or common prawn,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,346.9,kJ,0.1,g,195,mg
Gamba hervida,Shrimp boiled,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,399.53,kJ,0.4,g,81,mg
Gamba quisquilla congelada,Shrimp frozen raw,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,312.214,kJ,0.1,g,130,mg
Salmón ahumado,Smoked salmon,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,753.7,kJ,1.36,g,35,mg
Caracol,Snail,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,359.5,kJ,0.361,g,50,mg
Lenguado,Sole,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,328.6,kJ,0.18,g,60,mg
Lenguado al horno,Sole baked,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,307.414,kJ,0.15,g,50,mg
Lenguado frito,Sole fried,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,385.7,kJ,0.3,g,42,mg
Lenguado plancha,Sole griddle,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,564,kJ,1.79,g,61.16,mg
Calamares en aceite vegetal,Squid in vegetable oil,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,903.3,kJ,2.3,g,66.9,mg
Calamar conserva,Squid canned,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,371.5,kJ,0.52,g,200,mg
Calamar crudo,Squid raw,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,299.095,kJ,0.46,g,187.5,mg
Calamar asado,Squid roasted,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,338.46,kJ,0.31,g,222,mg
Pez espada emperador plancha,Swordfish griddle,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,616.2,kJ,1.57,g,36.45,mg
Pez espada crudo,Swordfish raw,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,461.4,kJ,0.947936,g,40,mg
Tenca cruda,Tench raw,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,384.38,kJ
Mújol al horno,Thicklip grey mullet baked,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,618.229,kJ,1.4,g,63,mg
Mújol crudo,Thicklip grey mullet raw,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,533.8,kJ,2.3,g,34,mg
Trucha,Trout,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,377.9,kJ,0.43,g,80,mg
Trucha ahumada,Trout smoked,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,826.5,kJ,59.3,mg
Atún en aceite de oliva isabel,Tuna in olive oil,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,749.97,kJ,1.05,g,31,mg
Atun en aceite vegetal,Tuna in vegetable oil,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,852.47,kJ,1.8,g,39.8,mg
Atún al horno,Tuna baked,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,791.689,kJ,2.3,g,48,mg
Atún al natural,Tuna canned in water,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,421.7,kJ,0.2,g,51,mg
Atún plancha,Tuna griddle,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,835,kJ,2.77,g,55,mg
Atún crudo,Tuna raw,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,496.1,kJ,0.96,g,28,mg
Rodaballo,Turbot,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,406.9,kJ,1.12,g,25,mg
Zamburiñas,Variegated scallop,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,324.3,kJ,0.3,g,34,mg
Nécora,Velvet crab,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,124,kcal,0.69,g,100,mg
Bacaladilla,Whiting,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,321.7,kJ,0.18,g,46,mg
Pescadilla rebozada en harina frita,Whiting coated in batter fried,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,739.271,kJ,1.5,g,110,mg
Pescadilla congelada cruda,Whiting frozen raw,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,230.681,kJ,0.22,g,19,mg
Platija cruda,Wide-eyed flounder raw,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,344.837,kJ,48,mg,0.288303,g
Platija al vapor,Wide-eyed flounder steamed,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,424.644,kJ,0.3846,g,80,mg
Pijota cruda,Young hake raw,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,269.41,kJ,0.35,g,67,mg
Percebe,goose barnacle,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,249.7,kJ,0.01,g,14,mg
