es,en,ca,familia_es,familia_en,familia_ca,kcal_value,kcal_unit,fat_satured_value,fat_satured_unit,colesterol_value,colesterol_unit
Carne de cerdo de capa blanca cabezada partes grasa y magra crudo,Pork meat head end of loin separable lean and fat raw,,Cárnicos y derivados,Meat and meat products,,1057.8,kJ,6.923,g,78,mg
Carne de cerdo de capa blanca lomo parte magra crudo,Pork meat loin lean raw,,Cárnicos y derivados,Meat and meat products,,515.8,kJ,0.979,g,61,mg
Carne de cerdo de capa blanca lomo partes grasa y magra crudo,Pork meat loin separable lean and fat raw,,Cárnicos y derivados,Meat and meat products,,590.18,kJ,1.761,g,68.23,mg
Cerdo chuleta crudo,Pork chop raw,,Cárnicos y derivados,Meat and meat products,,878,kJ,5.8,g,80,mg
Corazón de cerdo crudo,Pork heart raw,,Cárnicos y derivados,Meat and meat products,,479,kJ,1.2,g,131,mg
Cerdo pierna cruda con grasa separable,Pork leg raw with separable fat,,Cárnicos y derivados,Meat and meat products,,885.4,kJ,5.1,g,63,mg
Cerdo lomo crudo,Pork loin raw,,Cárnicos y derivados,Meat and meat products,,635.3,kJ,3.28,g,65,mg
Cerdo lomo asado,Pork loin roasted,,Cárnicos y derivados,Meat and meat products,,987.016,kJ,5.5,g,75,mg
Cerdo parte sin especificar,Pork not specified part,,Cárnicos y derivados,Meat and meat products,,1133.2,kJ,7.43,g,72,mg
Cerdo costilla crudo,Pork rib raw,,Cárnicos y derivados,Meat and meat products,,1163.9,kJ,9.3,g,77,mg
Cerdo solomillo crudo,Pork sirloin raw,,Cárnicos y derivados,Meat and meat products,,545.7,kJ,2.05142,g,72,mg
Cerdo solomillo asado,Pork sirloin roasted,,Cárnicos y derivados,Meat and meat products,,663.535,kJ,1.7,g,73,mg
Lengua de cerdo cruda,Pork tongue raw,,Cárnicos y derivados,Meat and meat products,,653.1,kJ,3.57,g,116,mg
Conejo entero estofado,Rabbit whole stewed,,Cárnicos y derivados,Meat and meat products,,814.058,kJ,3.4,g,90,mg
Salami,Salami,,Cárnicos y derivados,Meat and meat products,,1812.1,kJ,14.86,g,80,mg
Salchichón,Salchichon,,Cárnicos y derivados,Meat and meat products,,1756.5,kJ,12.3,g,72,mg
Longaniza,Sausage,,Cárnicos y derivados,Meat and meat products,,1442.5,kJ,11.25,g,88.5,mg
Salchicha tipo país a la plancha,Sausage "país" type griddle,,Cárnicos y derivados,Meat and meat products,,1606.81,kJ,8.57,g,85.71,mg
Salchicha fresca,Sausage fresh,,Cárnicos y derivados,Meat and meat products,,1278.04,kJ,10.545,g,67,mg
Salchicha tipo viena,Sausage viena type,,Cárnicos y derivados,Meat and meat products,,1141.5,kJ,9.3,g,52,mg
Lacón,Shoulder cured ham "lacon",,Cárnicos y derivados,Meat and meat products,,892.94,kJ,3.53,g,60.4,mg
Sobrasada,Sobrasada,,Cárnicos y derivados,Meat and meat products,,2491.1,kJ,20.7,g,72,mg
Cordero lechal espalda cruda,Suckling lamb back raw,,Cárnicos y derivados,Meat and meat products,,789.62,kJ,4.54,g,74.98,mg
Cordero lechal pierna cruda,Suckling lamb leg raw,,Cárnicos y derivados,Meat and meat products,,782.07,kJ,4.14,g,76.53,mg
Cordero lechal costillar crudo,Suckling lamb ribs raw,,Cárnicos y derivados,Meat and meat products,,800,kJ,5.47,g,75.13,mg
Lengua de buey cruda,Tongue ox raw,,Cárnicos y derivados,Meat and meat products,,911.9,kJ,7,g,87,mg
Lengua de ternera cruda,Tongue veal roasted,,Cárnicos y derivados,Meat and meat products,,565.3,kJ,3,g,62,mg
Callos de ternera,Tripe veal raw,,Cárnicos y derivados,Meat and meat products,,396.2,kJ,2.03,g,95,mg
Pavo fiambre,Turkey luncheon meat,,Cárnicos y derivados,Meat and meat products,,614.7,kJ,2.783,g,76,mg
Pavo fiambre bajo en grasa,Turkey luncheon meat low fat,,Cárnicos y derivados,Meat and meat products,,418.9,kJ,0.234,g,40,mg
Pavo pechuga con piel crudo,turkey breast with skin raw,,Cárnicos y derivados,Meat and meat products,,446.67,kJ,0.358,g,45,mg
Pavo pechuga sin piel a la plancha,Turkey breast without skin grilled,,Cárnicos y derivados,Meat and meat products,,606.183,kJ,1,g,69,mg
Pavo muslo con piel crudo,Turkey leg with skin raw,,Cárnicos y derivados,Meat and meat products,,630.612,kJ,2.6,g,72,mg
Pavo crudo,Turkey raw,,Cárnicos y derivados,Meat and meat products,,657.56,kJ,2.173,g,74,mg
Pulmón de ternera crudo,Veal lung raw,,Cárnicos y derivados,Meat and meat products,,367.9,kJ,0.86,g,242,mg
Carne de vacuno carrillera partes magra y grasa crudo,Veal cheeks separable lean and fat raw,,Cárnicos y derivados,Meat and meat products,
Carne de vacuno cadera partes magra y grasa crudo,Veal hip separable lean and fat raw,,Cárnicos y derivados,Meat and meat products,
Ternera lomo crudo con grasa separable,Veal loin raw with separable fat,,Cárnicos y derivados,Meat and meat products,,465.5,kJ,1,g,80,mg
Carne de vacuno lomo partes magra y grasa crudo,Veal loin separable lean and fat raw,,Cárnicos y derivados,Meat and meat products,
Ternera parte sin especificar cruda con grasa separable,Veal not specified part raw with separable fat,,Cárnicos y derivados,Meat and meat products,,1060.9,kJ,8.51,g,65,mg
Vacuno mollejas crudas,Veal offals gizzard raw,,Cárnicos y derivados,Meat and meat products,
Vacuno hígado crudo,Veal offals liver raw,,Cárnicos y derivados,Meat and meat products,
Ternera parte s/e asada,Veal part n/e roasted with separable fat,,Cárnicos y derivados,Meat and meat products,,924.691,kJ,4.4,g,107,mg
Ternera costilla cruda,Veal rib raw with separable fat,,Cárnicos y derivados,Meat and meat products,,584.596,kJ,2.6,g,76,mg
Carne de vacuno costillar partes magra y grasa crudo,Veal ribs separable lean and fat raw,,Cárnicos y derivados,Meat and meat products,
Carne de vacuno redondo partes magra y grasa crudo,Veal round separable lean and fat raw,,Cárnicos y derivados,Meat and meat products,
Ternera solomillo sin grasa crudo,Veal sirloin raw with separable fat,,Cárnicos y derivados,Meat and meat products,,456.573,kJ,1.27743,g,73.5,mg
Ternera solomillo asado,Veal sirloin roasted with separable fat,,Cárnicos y derivados,Meat and meat products,,654.406,kJ,1.8,g,98,mg
Carne de vacuno solomillo partes magra y grasa crudo,Veal sirloin separable lean and fat raw,,Cárnicos y derivados,Meat and meat products,
Carne de vacuno rabo partes magra y grasa crudo,Veal tail separable lean and fat raw,,Cárnicos y derivados,Meat and meat products,
